----------------------------------------------------------------------------------
| Forestation | All trees | Trees in fire | Trees not in fire | inFire/All ratio |
----------------------------------------------------------------------------------
|        0,00 |         0 |             0 |                 0 |             0,00 |
|        0,05 |      5140 |            59 |              5081 |             0,01 |
|        0,10 |      9931 |           138 |              9793 |             0,01 |
|        0,15 |     15029 |           297 |             14732 |             0,02 |
|        0,20 |     19950 |           446 |             19504 |             0,02 |
|        0,25 |     24851 |           656 |             24195 |             0,03 |
|        0,30 |     29941 |          1470 |             28471 |             0,05 |
|        0,35 |     35323 |          3854 |             31469 |             0,11 |
|        0,40 |     40033 |         18533 |             21500 |             0,46 |
|        0,45 |     45055 |         40590 |              4465 |             0,90 |
|        0,50 |     50072 |         48990 |              1082 |             0,98 |
|        0,55 |     54831 |         54413 |               418 |             0,99 |
|        0,60 |     60089 |         59977 |               112 |             1,00 |
|        0,65 |     64982 |         64952 |                30 |             1,00 |
|        0,70 |     70023 |         69995 |                28 |             1,00 |
|        0,75 |     74866 |         74865 |                 1 |             1,00 |
|        0,80 |     79855 |         79854 |                 1 |             1,00 |
|        0,85 |     85021 |         85021 |                 0 |             1,00 |
|        0,90 |     90054 |         90054 |                 0 |             1,00 |
|        0,95 |     95168 |         95168 |                 0 |             1,00 |
|        1,00 |    100000 |        100000 |                 0 |             1,00 |
----------------------------------------------------------------------------------
