----------------------------------------------------------------------------------
| Forestation | All trees | Trees in fire | Trees not in fire | inFire/All ratio |
----------------------------------------------------------------------------------
|        0,00 |         0 |             0 |                 0 |             0,00 |
|        0,05 |      5055 |            62 |              4993 |             0,01 |
|        0,10 |      9985 |           123 |              9862 |             0,01 |
|        0,15 |     14945 |           251 |             14694 |             0,02 |
|        0,20 |     20006 |           485 |             19521 |             0,02 |
|        0,25 |     25077 |           780 |             24297 |             0,03 |
|        0,30 |     30075 |          1703 |             28372 |             0,06 |
|        0,35 |     35042 |          3701 |             31341 |             0,11 |
|        0,40 |     40137 |         14131 |             26006 |             0,35 |
|        0,45 |     45003 |         41339 |              3664 |             0,92 |
|        0,50 |     49847 |         48648 |              1199 |             0,98 |
|        0,55 |     54996 |         54587 |               409 |             0,99 |
|        0,60 |     60031 |         59864 |               167 |             1,00 |
|        0,65 |     65009 |         64940 |                69 |             1,00 |
|        0,70 |     69942 |         69924 |                18 |             1,00 |
|        0,75 |     75072 |         75062 |                10 |             1,00 |
|        0,80 |     79961 |         79955 |                 6 |             1,00 |
|        0,85 |     84974 |         84974 |                 0 |             1,00 |
|        0,90 |     90036 |         90035 |                 1 |             1,00 |
|        0,95 |     94831 |         94831 |                 0 |             1,00 |
|        1,00 |    100000 |        100000 |                 0 |             1,00 |
----------------------------------------------------------------------------------
